symbol,tags
1000SATSUSDT,"['Seed', 'Meme']"
1INCHUSDT,['defi']
AAVEUSDT,['defi']
ACAUSDT,"['defi', 'Polkadot', 'Layer1_Layer2']"
ACEUSDT,"['Gaming', 'Launchpool', 'Seed']"
ACHUSDT,['Payments']
ACMUSDT,['fan_token']
ADAUSDT,"['Layer1_Layer2', 'pos', 'mining-zone']"
ADXUSDT,['Infrastructure']
AERGOUSDT,['']
AEURUSDT,['stablecoin']
AEVOUSDT,"['defi', 'newListing', 'Seed', 'Layer1_Layer2', 'Launchpool']"
AGIXUSDT,['AI']
AGLDUSDT,"['NFT', 'innovation-zone', 'Gaming', 'Seed']"
AIUSDT,"['AI', 'Seed', 'Launchpool', 'Gaming']"
AKROUSDT,"['Monitoring', 'Polkadot', 'defi']"
ALCXUSDT,['defi']
ALGOUSDT,"['Layer1_Layer2', 'mining-zone', 'pos']"
ALICEUSDT,"['Gaming', 'innovation-zone', 'NFT', 'Metaverse', 'Launchpool', 'Seed']"
ALPACAUSDT,"['defi', 'BSC', 'bnbchain']"
ALPHAUSDT,"['defi', 'innovation-zone', 'Launchpad', 'Launchpool', 'Seed']"
ALPINEUSDT,"['fan_token', 'Launchpad']"
ALTUSDT,"['Infrastructure', 'Launchpool', 'Seed']"
AMBUSDT,"['Monitoring', 'pos', 'Layer1_Layer2']"
AMPUSDT,['defi']
ANKRUSDT,"['liquid_staking', 'pow', 'pos', 'defi']"
APEUSDT,['NFT']
API3USDT,['Infrastructure']
APTUSDT,['Layer1_Layer2']
ARBUSDT,['Layer1_Layer2']
ARDRUSDT,"['Layer1_Layer2', 'mining-zone', 'pos']"
ARKMUSDT,"['Infrastructure', 'Launchpad', 'Seed', 'innovation-zone']"
ARKUSDT,"['Monitoring', 'pos', 'Layer1_Layer2']"
ARPAUSDT,"['Layer1_Layer2', 'Infrastructure']"
ARUSDT,['storage-zone']
ASRUSDT,"['fan_token', 'Launchpool', 'bnbchain', 'innovation-zone', 'Seed']"
ASTRUSDT,"['Layer1_Layer2', 'Polkadot', 'Infrastructure']"
ASTUSDT,['defi']
ATAUSDT,"['Infrastructure', 'Launchpool', 'Polkadot', 'innovation-zone', 'Seed']"
ATMUSDT,"['fan_token', 'Launchpool', 'bnbchain', 'innovation-zone', 'Seed']"
ATOMUSDT,"['Layer1_Layer2', 'pos']"
AUCTIONUSDT,"['defi', 'innovation-zone', 'Seed']"
AUDIOUSDT,['NFT']
AVAUSDT,[]
AVAXUSDT,"['Layer1_Layer2', 'pos', 'RWA']"
